OBJECTID,FMR_0BDR,FMR_1BDR,FMR_2BDR,FMR_3BDR,FMR_4BDR,FMR_AREANAME,FMR_CODE,FMR_4PLUSBDR,Shape__Area,Shape__Length
2471,520,569,720,1014,1120,"Uinta County, WY",NCNTY56041N56041,1120,9587430908.15234,394520.576808833
2472,506,611,700,1012,1063,"Washakie County, WY",NCNTY56043N56043,1063,11192939478.3086,530216.783189123
2473,601,639,832,1042,1450,"Weston County, WY",NCNTY56045N56045,1450,11952121682.2539,437728.469886842
2474,335,343,416,558,653,Puerto Rico HUD Nonmetro Area,NCNTY72923N72923,653,1267877558.85742,694471.10791548
2475,633,650,744,932,1174,"Raleigh County, WV HUD Metro FMR Area",METRO13220N54081,1174,2530119490.74219,300801.07960206
2476,556,756,866,1166,1171,"Hoonah-Angoon Census Area, AK",NCNTY02105N02105,1171,60830329624.3516,8069185.47544016
2477,501,531,700,948,951,"Oneida County, ID",NCNTY16071N16071,951,5672648673.62109,371565.199505687
2478,564,597,751,997,1157,"Loving County, TX",NCNTY48301N48301,1157,2436125972.375,254167.424795232
2479,685,792,994,1247,1460,"Windham County, VT",NCNTY50025N50025,1460,3865296834.03125,306783.205950533
2480,575,578,765,958,1275,"Marion County, WV",NCNTY54049N54049,1275,1357225285.49219,185588.26370552
2481,482,534,707,984,1137,"Adams County, WI",NCNTY55001N55001,1137,3438420275.63672,286824.298071085
2482,532,536,709,954,1020,"Barron County, WI",NCNTY55005N55005,1020,4677904020.00391,273447.544891679
2483,478,556,700,963,1182,"Lincoln County, WI",NCNTY55069N55069,1182,4753334372.30469,275252.814236923
2484,450,531,700,877,1069,"Manitowoc County, WI",NCNTY55071N55071,1069,2994275914.71484,235729.503067656
2485,500,529,700,880,1089,"Marinette County, WI",NCNTY55075N55075,1089,7505356083.40625,535414.493870969
2486,506,560,741,928,1005,"Marquette County, WI",NCNTY55077N55077,1005,2311452280.38281,209406.089032281
2487,478,554,700,877,946,"Menominee County, WI",NCNTY55078N55078,946,1890593547.21484,192820.722016121
2488,519,611,808,1012,1292,"Monroe County, WI",NCNTY55081N55081,1292,4538204664.23438,281478.511745309
2489,501,620,735,974,1135,"Oneida County, WI",NCNTY55085N55085,1135,6565626807.26172,372450.016856602
2490,450,601,700,1012,1176,"Pepin County, WI",NCNTY55091N55091,1176,1270062028.55859,219041.922993157
2491,517,599,792,1043,1121,"Rusk County, TX HUD Metro FMR Area",METRO30980N48401,1121,3397496516.72266,294195.591991408
2492,490,513,672,898,1068,"Coffey County, KS",NCNTY20031N20031,1068,2750361200.92188,212179.949986801
2493,432,508,672,872,1043,"Labette County, KS",NCNTY20099N20099,1043,2670392616.15625,207152.388212239
2494,481,485,641,836,952,"La Salle Parish, LA",NCNTY22059N22059,952,2375977125.60547,305652.328282967
2495,546,549,700,960,1147,"Catron County, NM",NCNTY35003N35003,1147,26128029574.6797,666214.59530556
